param,iterations,k,accuracy,f1_score,precision,temps
voisins,3,1,0.25738798856053385,0.2841588795633283,0.3611370650083237,19.646666666666665
voisins,3,2,0.19256434699714017,0.22977797193943802,0.3863933593422439,17.813333333333333
voisins,3,3,0.2221163012392755,0.2504257767718854,0.40008831157147434,19.666666666666668
voisins,3,4,0.2650142993326978,0.2937326615117599,0.3939570910798313,19.523333333333333
voisins,3,5,0.2831267874165872,0.3095822959666234,0.4000352117153884,19.423333333333336
voisins,3,8,0.3107721639656816,0.3207644816167242,0.40377855315409455,20.69
voisins,3,9,0.33841754051477596,0.3461534779602522,0.4287129126834888,21.166666666666668
voisins,3,10,0.32983794089609153,0.3344785758261804,0.42181088139703454,20.0
voisins,3,15,0.35271687321258344,0.32871675912423487,0.4094422997499458,19.733333333333334
voisins,3,25,0.38798856053384173,0.3466139301172339,0.4377482546030576,19.7
voisins,3,30,0.3937082936129647,0.34683878470592117,0.43394435108413526,19.62666666666667
voisins,3,35,0.38989513822688276,0.334102689120455,0.4738849778834409,19.77
voisins,3,40,0.4013346043851287,0.3445544088194308,0.49077012696718086,20.603333333333335
voisins,3,45,0.39466158245948524,0.3280634341071741,0.4386265974950338,20.826666666666664
voisins,3,50,0.3918017159199237,0.317802222584897,0.4144508957517663,20.55666666666667
voisins,3,60,0.4013346043851287,0.3170834406848285,0.4312645499974355,21.543333333333333
voisins,3,80,0.4070543374642517,0.3121551886777663,0.44814994175495065,22.13
voisins,3,90,0.4108674928503337,0.3107867795373832,0.4523838987549523,22.03
voisins,3,100,0.41754051477597715,0.30946894926915786,0.4450073861708684,22.356666666666666
voisins,3,110,0.41754051477597715,0.3042991439488094,0.48144741585802203,46.63333333333333
voisins,3,120,0.41468064823641565,0.29705550821837384,0.46921416207601974,24.263333333333335
voisins,3,130,0.4261201143946616,0.30513225980659203,0.486496839804137,26.343333333333334
voisins,3,140,0.4223069590085797,0.298530788742158,0.49584649690198973,26.393333333333334
voisins,3,150,0.41372735938989513,0.283836726446561,0.4453639238525174,27.186666666666667
voisins,3,160,0.4108674928503337,0.2763419947458885,0.41299977801588467,30.456666666666667
voisins,3,170,0.41754051477597715,0.28248622830508013,0.46389885273220705,48.69
voisins,3,180,0.4194470924690181,0.2851554535977914,0.47449483951124916,40.873333333333335
voisins,3,190,0.41372735938989513,0.2757051278552719,0.41230251841466187,31.463333333333335
voisins,3,200,0.4184938036224976,0.2787857861914464,0.4284737590554859,32.59666666666667
voisins,3,210,0.4194470924690181,0.278430720142079,0.38862564261937327,38.17
voisins,3,220,0.4184938036224976,0.2750429443971579,0.34232897089572284,45.6
voisins,3,230,0.4184938036224976,0.27487859107423473,0.36294693578971254,38.67333333333333
voisins,3,240,0.4213536701620591,0.27776646793742,0.41233900819366215,50.45666666666667
voisins,3,250,0.42326024785510014,0.2787873362514181,0.4132811483134243,55.50333333333333
voisins,3,260,0.4213536701620591,0.27439484510582224,0.36702930899523434,60.77333333333333
voisins,3,270,0.4165872259294566,0.26986108566541933,0.3505463584540633,54.70666666666667
voisins,3,280,0.4194470924690181,0.27179765076748225,0.3522059932385666,44.52
voisins,3,290,0.4242135367016206,0.2760331770790227,0.40584371046854045,46.64666666666667
voisins,3,300,0.4223069590085797,0.2734192120336058,0.39767134859844405,46.76333333333333
voisins,3,310,0.4223069590085797,0.2745115753325221,0.43061784100868944,42.303333333333335
voisins,3,320,0.4242135367016206,0.27533291773713187,0.4644870628374586,41.589999999999996
voisins,3,330,0.4242135367016206,0.27541039004356294,0.5710151304050256,39.406666666666666
voisins,3,340,0.4270734032411821,0.27685362351560766,0.6655284600728738,37.57666666666667
voisins,3,350,0.4223069590085797,0.27239481501359425,0.5469351740049946,36.336666666666666
voisins,3,360,0.4213536701620591,0.2707049442574774,0.5079204862752219,36.60333333333333
voisins,3,370,0.42802669208770255,0.27777713343280463,0.6668313324994107,35.343333333333334
voisins,3,380,0.4251668255481411,0.27316979051540263,0.5104661041743978,35.49333333333333
voisins,3,390,0.4261201143946616,0.27315539008620354,0.665731200520152,35.21333333333333
voisins,3,400,0.42326024785510014,0.26985817420990893,0.6641994721835763,36.906666666666666
voisins,3,410,0.42326024785510014,0.2697172926348277,0.6646435389772478,41.42666666666667
