id_parcelle classe_vraie classe_predite
6017564.0 8.0 3.0
6054675.0 8.0 8.0
6018665.0 8.0 8.0
6019318.0 8.0 3.0
6019435.0 8.0 8.0
6019436.0 1.0 8.0
6057048.0 8.0 3.0
6017566.0 1.0 3.0
6022687.0 1.0 8.0
6022885.0 3.0 3.0
6023168.0 3.0 3.0
6017292.0 7.0 3.0
6017293.0 7.0 8.0
6017296.0 3.0 3.0
6017297.0 0.0 8.0
6017298.0 3.0 3.0
6017299.0 3.0 3.0
6017302.0 3.0 3.0
6017306.0 3.0 3.0
6017307.0 3.0 8.0
6017308.0 3.0 3.0
6017336.0 8.0 8.0
6017317.0 8.0 8.0
6017318.0 7.0 3.0
6017319.0 7.0 3.0
6017320.0 7.0 3.0
6017321.0 7.0 8.0
6017322.0 8.0 8.0
6061943.0 8.0 8.0
6017323.0 0.0 8.0
6017324.0 8.0 8.0
6017325.0 3.0 3.0
6017326.0 1.0 8.0
6017328.0 0.0 8.0
6017329.0 8.0 8.0
6017330.0 3.0 3.0
6017331.0 8.0 8.0
6017333.0 8.0 8.0
6017334.0 8.0 8.0
6017335.0 8.0 8.0
6063883.0 0.0 3.0
6017337.0 8.0 8.0
6017338.0 8.0 8.0
6017339.0 8.0 8.0
6017340.0 8.0 8.0
6017341.0 8.0 8.0
6017343.0 1.0 8.0
6017344.0 8.0 8.0
6017346.0 8.0 8.0
6017350.0 7.0 3.0
6017351.0 7.0 3.0
6017352.0 7.0 8.0
6017353.0 8.0 8.0
6017354.0 8.0 8.0
6017359.0 8.0 3.0
6017362.0 7.0 8.0
6017366.0 0.0 8.0
6017370.0 7.0 8.0
6017371.0 3.0 3.0
6017372.0 1.0 8.0
6017374.0 3.0 3.0
6017375.0 8.0 8.0
6017376.0 1.0 8.0
6017377.0 3.0 3.0
6017378.0 8.0 3.0
6017379.0 8.0 3.0
6017381.0 3.0 3.0
6017382.0 3.0 3.0
6017383.0 3.0 3.0
6017384.0 1.0 3.0
6066037.0 8.0 8.0
6017387.0 1.0 8.0
6017388.0 8.0 8.0
6017389.0 3.0 3.0
6017390.0 0.0 8.0
6017391.0 7.0 8.0
6017392.0 8.0 8.0
6017393.0 8.0 8.0
6017394.0 8.0 8.0
6017395.0 8.0 8.0
6017396.0 7.0 8.0
6017397.0 3.0 3.0
6017398.0 8.0 8.0
6017399.0 3.0 3.0
6017400.0 3.0 3.0
6017401.0 1.0 8.0
6017403.0 7.0 8.0
6017404.0 7.0 8.0
6017405.0 7.0 8.0
6017406.0 7.0 8.0
6017407.0 7.0 8.0
6017411.0 7.0 8.0
6017412.0 7.0 8.0
6017413.0 7.0 8.0
6017414.0 7.0 8.0
6017415.0 7.0 8.0
6017416.0 7.0 8.0
6017417.0 7.0 8.0
6017418.0 7.0 8.0
6017419.0 7.0 8.0
6017420.0 7.0 8.0
6017422.0 8.0 8.0
6017423.0 7.0 3.0
6017424.0 7.0 3.0
6017426.0 8.0 8.0
6017427.0 7.0 8.0
6017428.0 7.0 8.0
6017431.0 7.0 3.0
6017432.0 3.0 8.0
6017433.0 8.0 8.0
6017434.0 8.0 8.0
6017435.0 8.0 8.0
6017467.0 1.0 8.0
6017468.0 3.0 8.0
6017442.0 3.0 3.0
6017443.0 7.0 8.0
6017444.0 7.0 8.0
6017445.0 8.0 8.0
6017447.0 7.0 8.0
6017449.0 3.0 8.0
6017451.0 7.0 8.0
6017469.0 8.0 8.0
6017568.0 3.0 3.0
6017452.0 7.0 8.0
6017454.0 7.0 8.0
6017455.0 7.0 8.0
6017456.0 7.0 8.0
6017457.0 8.0 8.0
6017458.0 7.0 3.0
6017459.0 3.0 8.0
6017460.0 3.0 8.0
6017462.0 3.0 8.0
6017465.0 1.0 8.0
6017466.0 1.0 8.0
6022268.0 1.0 3.0
6017470.0 3.0 3.0
6017471.0 3.0 3.0
6017473.0 7.0 3.0
6017474.0 3.0 3.0
6017475.0 8.0 8.0
6017476.0 7.0 3.0
6017477.0 8.0 8.0
6017478.0 8.0 8.0
6017479.0 1.0 3.0
6017480.0 1.0 8.0
6017481.0 1.0 8.0
6017483.0 3.0 8.0
6017484.0 3.0 3.0
6017485.0 0.0 8.0
6017486.0 7.0 8.0
6017532.0 7.0 8.0
6017487.0 8.0 8.0
6017488.0 8.0 8.0
6017489.0 8.0 8.0
6017490.0 8.0 8.0
6017492.0 8.0 8.0
6017493.0 8.0 3.0
6017494.0 8.0 8.0
6017495.0 3.0 3.0
6017499.0 8.0 3.0
6017501.0 3.0 3.0
6017502.0 8.0 8.0
6017562.0 7.0 3.0
6017503.0 8.0 3.0
6017505.0 8.0 8.0
6017506.0 3.0 3.0
6017507.0 8.0 8.0
6017508.0 7.0 8.0
6017510.0 8.0 8.0
6017511.0 3.0 3.0
6017512.0 3.0 3.0
6017513.0 7.0 8.0
6017514.0 7.0 3.0
6017515.0 8.0 3.0
6017516.0 8.0 3.0
6017563.0 3.0 3.0
6017517.0 7.0 3.0
6017519.0 7.0 3.0
6017520.0 8.0 8.0
6017521.0 8.0 3.0
6017522.0 7.0 8.0
6017524.0 8.0 3.0
6017525.0 8.0 8.0
6017527.0 0.0 8.0
6017528.0 7.0 8.0
6017530.0 7.0 3.0
6017531.0 7.0 3.0
6017533.0 7.0 8.0
6017534.0 7.0 8.0
6017535.0 7.0 3.0
6017537.0 7.0 8.0
6017539.0 3.0 3.0
6017541.0 7.0 8.0
6017542.0 7.0 8.0
6017543.0 7.0 8.0
6017545.0 8.0 8.0
6017548.0 7.0 3.0
6017549.0 7.0 3.0
6017550.0 8.0 3.0
6017551.0 3.0 3.0
6017552.0 7.0 8.0
6017553.0 8.0 3.0
6017554.0 7.0 3.0
6017556.0 3.0 3.0
6017557.0 7.0 3.0
6017558.0 3.0 8.0
6017559.0 3.0 3.0
6017560.0 3.0 3.0
6017561.0 3.0 3.0
6017569.0 3.0 3.0
6017570.0 7.0 8.0
6017572.0 2.0 8.0
6017573.0 3.0 3.0
6017574.0 3.0 8.0
6017576.0 3.0 3.0
6017577.0 3.0 3.0
6017579.0 3.0 8.0
6017581.0 3.0 3.0
6017582.0 1.0 3.0
6017583.0 1.0 8.0
6017584.0 1.0 8.0
6017585.0 7.0 8.0
6017587.0 1.0 8.0
6017589.0 8.0 3.0
6017590.0 3.0 3.0
6017593.0 1.0 8.0
6017594.0 8.0 8.0
6017595.0 8.0 8.0
6017596.0 8.0 8.0
6017597.0 8.0 8.0
6017598.0 8.0 8.0
6017599.0 8.0 8.0
6017600.0 7.0 8.0
6017601.0 8.0 8.0
6017603.0 8.0 8.0
6017606.0 3.0 3.0
6017607.0 1.0 3.0
6017611.0 3.0 3.0
6017612.0 8.0 8.0
6017704.0 3.0 3.0
6017613.0 8.0 8.0
6017614.0 8.0 8.0
6017615.0 8.0 8.0
6017616.0 3.0 3.0
6017618.0 3.0 3.0
6017621.0 8.0 8.0
6017622.0 1.0 8.0
6017623.0 7.0 8.0
6017625.0 7.0 8.0
6017626.0 8.0 8.0
6017638.0 3.0 3.0
6017627.0 3.0 3.0
6017629.0 8.0 8.0
6017630.0 8.0 3.0
6017631.0 7.0 3.0
6017633.0 7.0 8.0
6017634.0 8.0 3.0
6017635.0 8.0 8.0
6017636.0 7.0 3.0
6017637.0 3.0 8.0
6017639.0 3.0 3.0
6017640.0 3.0 8.0
6017641.0 8.0 8.0
6017642.0 3.0 3.0
6017644.0 8.0 3.0
6017645.0 8.0 8.0
6017646.0 1.0 8.0
6017647.0 8.0 8.0
6017651.0 8.0 3.0
6017652.0 8.0 8.0
6017654.0 1.0 3.0
6017655.0 3.0 3.0
6017672.0 3.0 3.0
6017705.0 3.0 3.0
6017657.0 1.0 8.0
6017658.0 8.0 3.0
6017659.0 3.0 3.0
6017660.0 0.0 8.0
6017661.0 3.0 3.0
6017662.0 2.0 8.0
6017663.0 3.0 8.0
6017664.0 8.0 3.0
6017665.0 8.0 8.0
6017666.0 1.0 8.0
6017667.0 1.0 8.0
6017668.0 3.0 8.0
6017669.0 0.0 8.0
6017678.0 0.0 8.0
6017679.0 8.0 8.0
6017680.0 8.0 3.0
6017682.0 8.0 8.0
6017684.0 1.0 8.0
6017685.0 1.0 8.0
6017686.0 1.0 8.0
